Длина волны, нм	амплитуда
 643.4	17
 643.7	20
 644.0	22
 644.3	20
 644.6	20
 644.9	19
 645.2	19
 645.5	21
 645.8	24
 646.1	22
 646.4	20
 646.7	21
 647.0	20
 647.3	21
 647.6	21
 647.9	23
 648.2	22
 648.5	22
 648.8	23
 649.1	24
 649.4	24
 649.7	23
 650.0	21
 650.3	21
 650.6	21
 650.9	24
 651.2	24
 651.5	23
 651.8	23
 652.1	21
 652.4	19
 652.7	18
 653.0	19
 653.3	18
 653.6	20
 653.9	21
 654.2	19
 654.6	19
 654.9	19
 655.2	18
 655.5	18
 655.8	17
 656.1	22
 656.4	21
 656.7	20
 657.0	19
 657.3	18
 657.6	20
 657.9	19
 658.2	24
 658.5	25
 658.8	18
 659.1	18
 659.4	20
 659.7	21
 660.0	24
 660.3	26
 660.6	26
 660.9	20
 661.2	22
 661.5	25
 661.8	22
 662.1	19
 662.4	18
 662.7	18
 663.0	20
 663.3	24
 663.6	24
 663.9	20
 664.2	19
 664.5	19
 664.8	21
 665.1	23
 665.4	26
 665.7	24
 666.0	19
 666.3	24
 666.6	25
 666.9	23
 667.2	19
 667.5	19
 667.8	21
 668.1	18
 668.4	20
 668.7	20
 669.0	15
 669.3	15
 669.6	20
 669.9	21
 670.2	20
 670.5	20
 670.8	17
 671.1	15
 671.4	15
 671.7	14
 672.0	11
 672.3	8
 672.6	13
 672.9	14
 673.2	12
 673.5	16
 673.8	16
 674.1	15
 674.4	16
 674.7	17
 675.1	15
 675.4	14
 675.7	16
 676.0	17
 676.3	18
 676.6	17
 676.9	18
 677.2	17
 677.5	12
 677.8	10
 678.1	8
 678.4	9
 678.7	11
 679.0	10
 679.3	9
 679.6	9
 679.9	8
 680.2	8
 680.5	6
 680.8	8
 681.1	8
 681.4	9
 681.7	9
 682.0	8
 682.3	8
 682.6	8
 682.9	9
 683.2	6
 683.5	5
 683.8	6
 684.1	7
 684.4	7
 684.7	7
 685.0	6
 685.3	6
 685.6	5
 685.9	9
 686.2	11
 686.5	11
 686.8	11
 687.1	10
 687.4	8
 687.7	5
 688.0	7
 688.3	6
 688.6	6
 688.9	8
 689.2	9
 689.5	6
 689.8	5
 690.1	6
 690.4	5
 690.7	2
 691.0	4
 691.3	9
 691.6	11
 691.9	10
 692.2	10
 692.5	6
 692.8	6
 693.1	8
 693.4	5
 693.7	6
 694.0	7
 694.3	10
 694.6	10
 694.9	7
 695.2	8
 695.6	7
 695.9	7
 696.2	7
 696.5	8
 696.8	9
 697.1	10
 697.4	12
 697.7	9
 698.0	8
 698.3	11
 698.6	8
 698.9	7
 699.2	11
 699.5	15
 699.8	13
 700.1	11
 700.4	9
 700.7	7
 701.0	6
 701.3	6
 701.6	8
 701.9	11
 702.2	11
 702.5	14
 702.8	15
 703.1	13
 703.4	11
 703.7	8
 704.0	8
 704.3	6
 704.6	10
 704.9	11
 705.2	7
 705.5	8
 705.8	11
 706.1	7
 706.4	4
 706.7	5
 707.0	6
 707.3	8
 707.6	13
 707.9	8
 708.2	3
 708.5	3
 708.8	3
 709.1	2
 709.4	2
 709.7	6
 710.0	6
 710.3	6
 710.6	4
 710.9	1
 711.2	-1
 711.5	1
 711.8	3
 712.1	4
 712.4	6
 712.7	7
 713.0	6
 713.3	6
 713.6	7
 713.9	6
 714.2	7
 714.5	5
 714.8	5
 715.1	5
 715.4	7
 715.7	8
 716.1	6
 716.4	4
 716.7	3
 717.0	3
 717.3	6
 717.6	7
 717.9	8
 718.2	8
 718.5	2
 718.8	0
 719.1	2
 719.4	4
 719.7	3
 720.0	5
 720.3	9
 720.6	9
 720.9	8
 721.2	7
 721.5	5
 721.8	6
 722.1	5
 722.4	6
 722.7	9
 723.0	9
 723.3	6
 723.6	7
 723.9	7
 724.2	6
 724.5	4
 724.8	2
 725.1	4
 725.4	4
 725.7	5
 726.0	5
 726.3	5
 726.6	4
 726.9	4
 727.2	3
 727.5	2
 727.8	1
 728.1	4
 728.4	6
 728.7	7
 729.0	6
 729.3	7
 729.6	7
 729.9	4
 730.2	6
 730.5	5
 730.8	6
 731.1	7
 731.4	6
 731.7	6
 732.0	5
 732.3	4
 732.6	3
 732.9	3
 733.2	4
 733.5	4
 733.8	3
 734.1	5
 734.4	7
 734.7	6
 735.0	3
 735.3	3
 735.6	2
 735.9	3
 736.2	5
 736.5	5
 736.9	6
 737.2	7
 737.5	5
 737.8	5
 738.1	3
 738.4	3
 738.7	6
 739.0	9
 739.3	10
 739.6	7
 739.9	6
 740.2	4
 740.5	6
 740.8	5
 741.1	5
 741.4	6
 741.7	4
 742.0	3
 742.3	3
 742.6	5
 742.9	6
 743.2	5
 743.5	6
 743.8	7
 744.1	6
 744.4	6
 744.7	7
 745.0	6
 745.3	4
 745.6	5
 745.9	1
 746.2	0
 746.5	3
 746.8	8
 747.1	8
 747.4	6
 747.7	7
 748.0	4
 748.3	1
 748.6	7
 748.9	9
 749.2	8
 749.5	9
 749.8	11
 750.1	9
 750.4	5
 750.7	0
 751.0	-3
 751.3	-3
 751.6	-1
 751.9	8
 752.2	9
 752.5	8
 752.8	10
 753.1	8
 753.4	4
 753.7	6
 754.0	6
 754.3	8
 754.6	12
 754.9	12
 755.2	11
 755.5	9
 755.8	9
 756.1	5
 756.4	1
 756.7	1
 757.0	5
 757.4	7
 757.7	6
 758.0	7
 758.3	8
 758.6	6
 758.9	7
 759.2	6
 759.5	5
 759.8	8
 760.1	11
 760.4	9
 760.7	6
 761.0	5
 761.3	4
 761.6	5
 761.9	4
 762.2	8
 762.5	10
 762.8	10
 763.1	10
 763.4	6
 763.7	4
 764.0	6
 764.3	6
 764.6	5
 764.9	6
 765.2	10
 765.5	9
 765.8	5
 766.1	4
 766.4	3
 766.7	4
 767.0	5
 767.3	6
 767.6	6
 767.9	8
 768.2	7
 768.5	4
 768.8	3
 769.1	4
 769.4	4
 769.7	6
 770.0	8
 770.3	9
 770.6	7
 770.9	7
 771.2	6
 771.5	4
 771.8	3
 772.1	3
 772.4	5
 772.7	6
 773.0	8
 773.3	8
 773.6	5
 773.9	2
 774.2	4
 774.5	4
 774.8	4
 775.1	4
 775.4	4
 775.7	3
 776.0	3
 776.3	4
 776.6	3
 776.9	1
 777.2	2
 777.5	3
 777.9	3
 778.2	6
 778.5	6
 778.8	3
 779.1	2
 779.4	1
 779.7	1
 780.0	3
 780.3	4
 780.6	8
 780.9	7
 781.2	8
 781.5	9
 781.8	6
 782.1	4
 782.4	3
 782.7	3
 783.0	3
 783.3	7
 783.6	8
 783.9	7
 784.2	6
 784.5	5
 784.8	3
 785.1	4
 785.4	4
 785.7	6
 786.0	8
 786.3	9
 786.6	9
 786.9	8
 787.2	7
 787.5	4
 787.8	4
 788.1	3
 788.4	1
 788.7	3
 789.0	5
 789.3	6
 789.6	7
 789.9	7
 790.2	6
 790.5	4
 790.8	5
 791.1	7
 791.4	7
 791.7	7
 792.0	9
 792.3	7
 792.6	7
 792.9	8
 793.2	4
 793.5	1
 793.8	3
 794.1	6
 794.4	5
 794.7	4
 795.0	5
 795.3	5
 795.6	3
 795.9	5
 796.2	6
 796.5	5
 796.8	5
 797.1	6
 797.4	6
 797.7	5
 798.0	4
 798.4	2
 798.7	3
 799.0	1
 799.3	3
 799.6	6
 799.9	7
 800.2	7
 800.5	8
 800.8	8
 801.1	9
 801.4	9
 801.7	7
 802.0	7
 802.3	10
 802.6	8
 802.9	6
 803.2	4
 803.5	2
 803.8	2
 804.1	3
 804.4	9
 804.7	11
 805.0	11
 805.3	10
 805.6	7
 805.9	4
 806.2	7
 806.5	6
 806.8	4
 807.1	9
 807.4	13
 807.7	11
 808.0	7
 808.3	4
 808.6	1
 808.9	2
 809.2	2
 809.5	6
 809.8	8
 810.1	7
 810.4	6
 810.7	4
 811.0	2
 811.3	2
 811.6	1
 811.9	4
 812.2	6
 812.5	9
 812.8	11
 813.1	8
 813.4	7
 813.7	7
 814.0	5
 814.3	2
 814.6	6
 814.9	8
 815.2	8
 815.5	9
 815.8	9
 816.1	8
 816.4	8
 816.7	9
 817.0	7
 817.3	4
 817.6	4
 817.9	5
 818.2	7
 818.5	7
 818.9	8
 819.2	7
 819.5	3
 819.8	6
 820.1	4
 820.4	2
 820.7	4
 821.0	4
 821.3	5
 821.6	6
 821.9	6
 822.2	3
 822.5	1
 822.8	3
 823.1	3
 823.4	5
 823.7	7
 824.0	7
 824.3	7
 824.6	4
 824.9	4
 825.2	4
 825.5	2
 825.8	3
 826.1	3
 826.4	3
 826.7	4
 827.0	6
 827.3	6
 827.6	5
 827.9	7
 828.2	5
 828.5	5
 828.8	7
 829.1	9
 829.4	4
 829.7	3
 830.0	5
 830.3	6
 830.6	8
 830.9	9
 831.2	4
 831.5	2
 831.8	5
 832.1	6
 832.4	8
 832.7	8
 833.0	9
 833.3	8
 833.6	8
 833.9	9
 834.2	9
 834.5	5
 834.8	3
 835.1	5
 835.4	4
 835.7	4
 836.0	7
 836.3	5
 836.6	3
 836.9	3
 837.2	6
 837.5	6
 837.8	4
 838.1	9
 838.4	9
 838.7	7
 839.0	7
 839.4	7
 839.7	4
 840.0	1
 840.3	4
 840.6	5
 840.9	4
 841.2	6
 841.5	4
 841.8	4
 842.1	4
 842.4	4
 842.7	7
 843.0	6
 843.3	7
 843.6	4
 843.9	2
 844.2	4
 844.5	6
 844.8	4
 845.1	0
 845.4	1
 845.7	3
 846.0	4
 846.3	4
 846.6	2
 846.9	1
 847.2	1
 847.5	5
 847.8	6
 848.1	4
 848.4	3
 848.7	2
 849.0	1
 849.3	3
 849.6	6
 849.9	6
 850.2	7
 850.5	7
 850.8	2
 851.1	1
 851.4	2
 851.7	2
 852.0	1
 852.3	0
 852.6	4
 852.9	6
 853.2	7
 853.5	9
 853.8	8
 854.1	6
 854.4	4
 854.7	6
 855.0	5
 855.3	5
 855.6	4
 855.9	2
 856.2	-1
 856.5	0
